song_name,name,song_id,popularity
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Lil Wayne,1jYiIOC5d6soxkJP81fxq2,65
Mirrors,Justin Timberlake,2JZKXgq5zsokN01KWyiY6n,0
Firework,Katy Perry,4lCv7b86sLynZbXhfScfm2,70
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,87
What Do You Mean?,Justin Bieber,4B0JvthVoAAuygILe3n4Bs,80
Sorry Not Sorry,Demi Lovato,3Du2K5dLzmduCNp6uwuaL0,0
Stronger (What Doesn't Kill You),Kelly Clarkson,6D60klaHqbCl9ySc8VcRss,68
In Case You Didn't Know,Brett Young,2dWgzqawzDkBL8QfZw92Ub,0
Singles You Up,Jordan Davis,3IPkbTA8KkdDXyWtGkfFXa,48
Craving You,Thomas Rhett,6zLdXcmvIxnAXpz9sXFnIE,0
Craving You,Maren Morris,6zLdXcmvIxnAXpz9sXFnIE,0
All On Me,Devin Dawson,2Nc8Imt04W3ZmcBF8dPQKc,0
Light It Up,Luke Bryan,6znSbsDDFdBZaiucjUGaWy,0
Unforgettable,Thomas Rhett,30MM5jWpUmOxtTNd9Ey5LZ,66
I'll Name the Dogs,Blake Shelton,2n5ZD87XQ2yvIxGjoYbUmZ,43
Greatest Love Story,LANCO,0kdiUZDcLIFw0Buo9r0Q4z,0
You Broke Up with Me,Walker Hayes,6UsoV6X96Rox9mfxoz7SFy,48
Kiss Somebody,Morgan Evans,1mJMD1VIQ7jWTP9DK2zmY0,45
Like I Loved You,Brett Young,3T6MAweakkNrMYs8jZIWtg,64
The Long Way,Brett Eldredge,1KTLLe980WR4RLKg74Ud6e,27
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,7iDa6hUg2VgEL1o1HjmfBn,73
Meant to Be (feat. Florida Georgia Line),Florida Georgia Line,7iDa6hUg2VgEL1o1HjmfBn,73
Getting Over You,Jackie Lee,4oeGQb7zAVNRkpjjoNHK5K,0
Marry Me,Thomas Rhett,0OWZFobGSIW9GrSlQ9C5pc,66
What Ifs (feat. Lauren Alaina),Kane Brown,7zVCrzzEJU7u24sbJPXA5W,75
